// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 15 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln or .csproj file. Will use current directory D:\HierarchyKit to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\obj\Release\net10.0/" /p:OutDir="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" /p:OutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7
// command took 0.73 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\obj\Release\net10.0/" /p:OutDir="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" /p:OutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" --output "D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7
// command took 3.99 sec and exited with 0
// ***** Done, took 00:00:04 (4.78 sec)   *****
// Found 15 benchmarks:
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 2056 2144 --benchmarkName "HierarchyBenchmarks.Add(NodeCount: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-HOTHSI(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 175000.00 ns, 175.0000 us/op
WorkloadResult  90: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  91: 1 op, 18800.00 ns, 18.8000 us/op
WorkloadResult  92: 1 op, 18800.00 ns, 18.8000 us/op
WorkloadResult  93: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadResult  94: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadResult  95: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadResult  96: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadResult  97: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadResult  98: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadResult  99: 1 op, 17500.00 ns, 17.5000 us/op
// GC:  0 0 0 27024 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 33992 has exited with code 0.

Mean = 17.493 μs, StdErr = 0.260 μs (1.49%), N = 99, StdDev = 2.591 μs
Min = 12.800 μs, Q1 = 15.250 μs, Median = 17.400 μs, Q3 = 19.450 μs, Max = 24.400 μs
IQR = 4.200 μs, LowerFence = 8.950 μs, UpperFence = 25.750 μs
ConfidenceInterval = [16.609 μs; 18.377 μs] (CI 99.9%), Margin = 0.884 μs (5.05% of Mean)
Skewness = 0.2, Kurtosis = 2.25, MValue = 3.48

// ** Remained 7 (46,7%) benchmark(s) to run. Estimated finish 2026-09-11 16:11 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 2104 1924 --benchmarkName "HierarchyBenchmarks.GetChildren(NodeCount: 1000)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 8 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-ATDBFM(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 188300.00 ns, 188.3000 us/op
WorkloadJitting  1: 1 op, 857100.00 ns, 857.1000 us/op

OverheadWarmup   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   8: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 37400.00 ns, 37.4000 us/op
WorkloadWarmup   2: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadWarmup   3: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadWarmup   4: 1 op, 24000.00 ns, 24.0000 us/op
WorkloadWarmup   5: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadWarmup   6: 1 op, 21000.00 ns, 21.0000 us/op
WorkloadWarmup   7: 1 op, 27900.00 ns, 27.9000 us/op
WorkloadWarmup   8: 1 op, 26700.00 ns, 26.7000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 28000.00 ns, 28.0000 us/op
WorkloadActual   2: 1 op, 25700.00 ns, 25.7000 us/op
WorkloadActual   3: 1 op, 23500.00 ns, 23.5000 us/op
WorkloadActual   4: 1 op, 28800.00 ns, 28.8000 us/op
WorkloadActual   5: 1 op, 27200.00 ns, 27.2000 us/op
WorkloadActual   6: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadActual   7: 1 op, 25700.00 ns, 25.7000 us/op
WorkloadActual   8: 1 op, 24000.00 ns, 24.0000 us/op
WorkloadActual   9: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual  10: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadActual  11: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadActual  12: 1 op, 26100.00 ns, 26.1000 us/op
WorkloadActual  13: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadActual  14: 1 op, 23300.00 ns, 23.3000 us/op
WorkloadActual  15: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadActual  16: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadActual  17: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadActual  18: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadActual  19: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  20: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadActual  21: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadActual  22: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadActual  23: 1 op, 25200.00 ns, 25.2000 us/op
WorkloadActual  24: 1 op, 24400.00 ns, 24.4000 us/op
WorkloadActual  25: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadActual  26: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual  27: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadActual  28: 1 op, 20500.00 ns, 20.5000 us/op
WorkloadActual  29: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadActual  30: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadActual  31: 1 op, 20700.00 ns, 20.7000 us/op
WorkloadActual  32: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadActual  33: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadActual  34: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadActual  35: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadActual  36: 1 op, 23900.00 ns, 23.9000 us/op
WorkloadActual  37: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  38: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadActual  39: 1 op, 19400.00 ns, 19.4000 us/op
WorkloadActual  40: 1 op, 25800.00 ns, 25.8000 us/op
WorkloadActual  41: 1 op, 24200.00 ns, 24.2000 us/op
WorkloadActual  42: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadActual  43: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadActual  44: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadActual  45: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  46: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadActual  47: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  48: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadActual  49: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadActual  50: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  51: 1 op, 24000.00 ns, 24.0000 us/op
WorkloadActual  52: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadActual  53: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadActual  54: 1 op, 21000.00 ns, 21.0000 us/op
WorkloadActual  55: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadActual  56: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadActual  57: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadActual  58: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadActual  59: 1 op, 36300.00 ns, 36.3000 us/op
WorkloadActual  60: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadActual  61: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadActual  62: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadActual  63: 1 op, 20600.00 ns, 20.6000 us/op
WorkloadActual  64: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadActual  65: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadActual  66: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadActual  67: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadActual  68: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadActual  69: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadActual  70: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadActual  71: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadActual  72: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadActual  73: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadActual  74: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  75: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadActual  76: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadActual  77: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  78: 1 op, 20000.00 ns, 20.0000 us/op
WorkloadActual  79: 1 op, 19200.00 ns, 19.2000 us/op
WorkloadActual  80: 1 op, 22300.00 ns, 22.3000 us/op
WorkloadActual  81: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual  82: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadActual  83: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadActual  84: 1 op, 18800.00 ns, 18.8000 us/op
WorkloadActual  85: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadActual  86: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  87: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadActual  88: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  89: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  90: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  91: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadActual  92: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadActual  93: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadActual  94: 1 op, 23400.00 ns, 23.4000 us/op
WorkloadActual  95: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadActual  96: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadActual  97: 1 op, 26500.00 ns, 26.5000 us/op
WorkloadActual  98: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadActual  99: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadActual  100: 1 op, 21600.00 ns, 21.6000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 27800.00 ns, 27.8000 us/op
WorkloadResult   2: 1 op, 25500.00 ns, 25.5000 us/op
WorkloadResult   3: 1 op, 23300.00 ns, 23.3000 us/op
WorkloadResult   4: 1 op, 28600.00 ns, 28.6000 us/op
WorkloadResult   5: 1 op, 27000.00 ns, 27.0000 us/op
WorkloadResult   6: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadResult   7: 1 op, 25500.00 ns, 25.5000 us/op
WorkloadResult   8: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadResult   9: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadResult  10: 1 op, 20700.00 ns, 20.7000 us/op
WorkloadResult  11: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadResult  12: 1 op, 25900.00 ns, 25.9000 us/op
WorkloadResult  13: 1 op, 24600.00 ns, 24.6000 us/op
WorkloadResult  14: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadResult  15: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadResult  16: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult  17: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadResult  18: 1 op, 21400.00 ns, 21.4000 us/op
WorkloadResult  19: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadResult  20: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadResult  21: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadResult  22: 1 op, 20000.00 ns, 20.0000 us/op
WorkloadResult  23: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadResult  24: 1 op, 24200.00 ns, 24.2000 us/op
WorkloadResult  25: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadResult  26: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadResult  27: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadResult  28: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadResult  29: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadResult  30: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadResult  31: 1 op, 20500.00 ns, 20.5000 us/op
WorkloadResult  32: 1 op, 23600.00 ns, 23.6000 us/op
WorkloadResult  33: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  34: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadResult  35: 1 op, 24600.00 ns, 24.6000 us/op
WorkloadResult  36: 1 op, 23700.00 ns, 23.7000 us/op
WorkloadResult  37: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadResult  38: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadResult  39: 1 op, 19200.00 ns, 19.2000 us/op
WorkloadResult  40: 1 op, 25600.00 ns, 25.6000 us/op
WorkloadResult  41: 1 op, 24000.00 ns, 24.0000 us/op
WorkloadResult  42: 1 op, 21400.00 ns, 21.4000 us/op
WorkloadResult  43: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadResult  44: 1 op, 23900.00 ns, 23.9000 us/op
WorkloadResult  45: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadResult  46: 1 op, 22300.00 ns, 22.3000 us/op
WorkloadResult  47: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadResult  48: 1 op, 20700.00 ns, 20.7000 us/op
WorkloadResult  49: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadResult  50: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadResult  51: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadResult  52: 1 op, 20700.00 ns, 20.7000 us/op
WorkloadResult  53: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadResult  54: 1 op, 20800.00 ns, 20.8000 us/op
WorkloadResult  55: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadResult  56: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadResult  57: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadResult  58: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadResult  59: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadResult  60: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadResult  61: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadResult  62: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadResult  63: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadResult  64: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadResult  65: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadResult  66: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadResult  67: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadResult  68: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadResult  69: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadResult  70: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadResult  71: 1 op, 19600.00 ns, 19.6000 us/op
WorkloadResult  72: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadResult  73: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadResult  74: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadResult  75: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadResult  76: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  77: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadResult  78: 1 op, 19000.00 ns, 19.0000 us/op
WorkloadResult  79: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadResult  80: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadResult  81: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadResult  82: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadResult  83: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadResult  84: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadResult  85: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult  86: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadResult  87: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult  88: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  89: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  90: 1 op, 23600.00 ns, 23.6000 us/op
WorkloadResult  91: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadResult  92: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadResult  93: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadResult  94: 1 op, 20700.00 ns, 20.7000 us/op
WorkloadResult  95: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadResult  96: 1 op, 26300.00 ns, 26.3000 us/op
WorkloadResult  97: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadResult  98: 1 op, 21400.00 ns, 21.4000 us/op
WorkloadResult  99: 1 op, 21400.00 ns, 21.4000 us/op
// GC:  0 0 0 12528 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 33300 has exited with code 0.

Mean = 21.656 μs, StdErr = 0.240 μs (1.11%), N = 99, StdDev = 2.390 μs
Min = 17.600 μs, Q1 = 19.750 μs, Median = 21.400 μs, Q3 = 23.450 μs, Max = 28.600 μs
IQR = 3.700 μs, LowerFence = 14.200 μs, UpperFence = 29.000 μs
ConfidenceInterval = [20.841 μs; 22.470 μs] (CI 99.9%), Margin = 0.815 μs (3.76% of Mean)
Skewness = 0.58, Kurtosis = 2.71, MValue = 2

// ** Remained 6 (40,0%) benchmark(s) to run. Estimated finish 2026-09-11 16:11 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 1640 1720 --benchmarkName "HierarchyBenchmarks.Descendants(NodeCount: 1000)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 9 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-JYGMZT(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 192500.00 ns, 192.5000 us/op
WorkloadJitting  1: 1 op, 2596500.00 ns, 2.5965 ms/op

OverheadWarmup   1: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 0.00 ns, 0.0000 ns/op
OverheadActual  18: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  19: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 114400.00 ns, 114.4000 us/op
WorkloadWarmup   2: 1 op, 103300.00 ns, 103.3000 us/op
WorkloadWarmup   3: 1 op, 104400.00 ns, 104.4000 us/op
WorkloadWarmup   4: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadWarmup   5: 1 op, 95000.00 ns, 95.0000 us/op
WorkloadWarmup   6: 1 op, 101200.00 ns, 101.2000 us/op
WorkloadWarmup   7: 1 op, 104400.00 ns, 104.4000 us/op
WorkloadWarmup   8: 1 op, 126800.00 ns, 126.8000 us/op
WorkloadWarmup   9: 1 op, 127100.00 ns, 127.1000 us/op
WorkloadWarmup  10: 1 op, 134100.00 ns, 134.1000 us/op
